epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.002,2.0892226680967543,0.20595555555555556,0.7940444444444444,1.823890465927124,0.292,0.708,2.5637647742405534
2,0.002,1.6710746355692545,0.3496666666666667,0.6503333333333333,1.4763320831298827,0.4562,0.5438000000000001,2.414750484749675
3,0.002,1.4628822707706028,0.4550666666666667,0.5449333333333333,1.2951080020904542,0.5392,0.4608,2.686600669287145
4,0.002,1.307117300139533,0.5236888888888889,0.47631111111111113,1.1542030151367189,0.5874,0.41259999999999997,2.4606187120079994
5,0.002,1.180515047899882,0.58,0.42000000000000004,1.0692018403053283,0.621,0.379,2.355971439741552
6,0.002,1.10082944800059,0.6142444444444445,0.3857555555555555,1.010275659275055,0.6532,0.3468,2.279182257130742
7,0.002,1.0400626095347933,0.6356222222222222,0.3643777777777778,1.0163643646240235,0.6506,0.34940000000000004,2.375248394906521
8,0.002,0.9812972476747301,0.6566888888888889,0.3433111111111111,0.9143029942035675,0.6816,0.3184,2.3978991582989693
9,0.002,0.9311457158618504,0.6779777777777778,0.3220222222222222,0.9177404711723328,0.6866,0.3134,2.3373903771862388
10,0.002,0.8982629747072856,0.6887777777777778,0.3112222222222222,0.8745535152435303,0.7056,0.2944,2.356512013822794
11,0.002,0.8672766728083293,0.7002,0.29979999999999996,0.8028533781051636,0.7242,0.27580000000000005,2.369615912437439
12,0.002,0.8317867486211988,0.7160666666666666,0.28393333333333337,0.8346038809776306,0.7274,0.27259999999999995,2.323985569179058
13,0.002,0.8023543981022305,0.7262222222222222,0.2737777777777778,0.7695855393409728,0.7438,0.2562,2.3137745512649417
14,0.002,0.7750988965882195,0.7365333333333334,0.2634666666666666,0.7425667230606079,0.7536,0.24639999999999995,2.2215752070769668
15,0.002,0.7577516823874579,0.7441777777777778,0.2558222222222222,0.754655260848999,0.7482,0.2518,2.2596099339425564
16,0.002,0.742682772064209,0.7470222222222223,0.25297777777777775,0.7632723718643188,0.7426,0.25739999999999996,2.2438366152346134
17,0.002,0.7288894912931654,0.7553111111111112,0.24468888888888884,0.7260125361442565,0.761,0.239,2.35241817869246
18,0.002,0.707049202685886,0.7631555555555556,0.2368444444444444,0.700349240732193,0.7642,0.2358,2.3382621817290783
19,0.002,0.6855667280832927,0.7673333333333333,0.2326666666666667,0.7092536221981048,0.7664,0.23360000000000003,2.3422199338674545
20,0.002,0.6658930942111545,0.7764222222222222,0.22357777777777776,0.6699590090990066,0.7804,0.21960000000000002,2.3072336008772254
