epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.001,1.5727790102216932,0.42188888888888887,0.5781111111111111,1.588108486366272,0.4138,0.5862,3.269271595403552
2,0.000998794204878613,1.2267106097539267,0.5577333333333333,0.4422666666666667,1.090860631942749,0.6142,0.38580000000000003,2.7272962164133787
3,0.0009951826940270774,1.0788045767678154,0.6102666666666666,0.3897333333333334,1.0846686695098877,0.618,0.382,2.6573129473254085
4,0.000989183062363234,0.9811583875020345,0.6531111111111111,0.3468888888888889,0.8922352230072021,0.6844,0.3156,2.5200203834101558
5,0.000980824539489468,0.9126335658709208,0.6774888888888889,0.3225111111111111,0.8884539823532105,0.6878,0.31220000000000003,2.6168841775506735
6,0.0009701478472890248,0.8448741037474738,0.7008888888888889,0.2991111111111111,0.7751813902854919,0.7336,0.26639999999999997,2.7752679586410522
7,0.0009572050015330875,0.8018577398724026,0.717,0.28300000000000003,0.8454861071586609,0.71,0.29000000000000004,2.6900391643866897
8,0.000942059058465169,0.762077723397149,0.7314222222222222,0.2685777777777778,0.7411707370758057,0.7404,0.25960000000000005,2.9780104076489806
9,0.0009247838075974309,0.7085805230670505,0.7514444444444445,0.24855555555555553,0.6795152110099792,0.7648,0.23519999999999996,2.704057869501412
10,0.000905463412215599,0.6878024417771234,0.7577555555555555,0.24224444444444448,0.721228258895874,0.742,0.258,2.7272760588675737
11,0.0008841919993438941,0.6536634342087639,0.7718888888888888,0.22811111111111115,0.6513143402099609,0.7712,0.2288,2.648873083293438
12,0.0008610732011676323,0.6310448113441467,0.7780444444444444,0.22195555555555557,0.6243170113563538,0.783,0.21699999999999997,2.7053883112967014
13,0.0008362196501476349,0.604498966439565,0.7875111111111112,0.21248888888888884,0.5985309135437011,0.7904,0.2096,2.723062471486628
14,0.0008097524302862008,0.5828606364462111,0.7951555555555555,0.2048444444444445,0.5937054382324218,0.7972,0.20279999999999998,2.6656726077198982
