epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.001,1.5776117722617256,0.41806666666666664,0.5819333333333334,1.261792084312439,0.5428,0.45720000000000005,3.08158549759537
2,0.000998794204878613,1.2185141922420926,0.5642444444444444,0.43575555555555556,1.0694772146224976,0.6196,0.38039999999999996,2.640516070649028
3,0.0009951826940270774,1.0824871894518535,0.6153555555555555,0.38464444444444446,1.042084617614746,0.6324,0.36760000000000004,2.5354749457910657
4,0.000989183062363234,0.9811872620688544,0.6495111111111112,0.35048888888888885,0.959516576385498,0.6566,0.34340000000000004,2.5331481117755175
5,0.000980824539489468,0.9127846489164564,0.6761777777777778,0.32382222222222223,0.8497665229797363,0.689,0.31100000000000005,2.540661088190973
6,0.0009701478472890248,0.8517036171065436,0.6981333333333334,0.3018666666666666,0.8247395967483521,0.7092,0.29079999999999995,2.68490650691092
7,0.0009572050015330875,0.8072278502146403,0.715,0.28500000000000003,0.7869554127693176,0.7334,0.26659999999999995,2.72346044331789
8,0.000942059058465169,0.7573765340487162,0.7331111111111112,0.26688888888888884,0.7210586002349854,0.752,0.248,2.593582089059055
9,0.0009247838075974309,0.7202578434202406,0.7464444444444445,0.25355555555555553,0.689564467716217,0.7566,0.24339999999999995,2.624177038669586
10,0.000905463412215599,0.689505521689521,0.7568888888888889,0.24311111111111106,0.6762787631988525,0.7668,0.23319999999999996,2.767273426055908
11,0.0008841919993438941,0.6621161303308275,0.7675555555555555,0.23244444444444445,0.6713785259246826,0.7674,0.23260000000000003,2.708000377751887
12,0.0008610732011676323,0.631718741967943,0.7788444444444445,0.22115555555555555,0.6983411979675292,0.761,0.239,2.651821320876479
13,0.0008362196501476349,0.6064433971616957,0.7884,0.2116,0.604392810344696,0.7934,0.2066,2.643588388338685
14,0.0008097524302862008,0.5811315859158834,0.7961333333333334,0.20386666666666664,0.6701938848495483,0.7808,0.21919999999999995,2.7197191016748548
15,0.0007818004872180196,0.5576629235161675,0.8028,0.19720000000000004,0.5878860120773315,0.795,0.20499999999999996,2.7002507196739316
16,0.0007525,0.5385282469007704,0.8102444444444444,0.18975555555555557,0.5775473456382751,0.802,0.19799999999999995,2.6269868575036526
17,0.0007219937176605934,0.5175789708455404,0.8189333333333333,0.1810666666666667,0.5522669735908509,0.8084,0.1916,2.7091640643775463
18,0.0006904302637408765,0.49626567461225723,0.8254888888888889,0.17451111111111106,0.5393889247894287,0.8164,0.18359999999999999,2.682497339323163
19,0.000657963412215599,0.4828162185457018,0.8303333333333334,0.16966666666666663,0.5348832607269287,0.8196,0.1804,2.695394515991211
20,0.0006247513383218356,0.46491520624160765,0.8374666666666667,0.1625333333333333,0.5379405311584473,0.8204,0.17959999999999998,2.5724607473239303
21,0.0005909558479451307,0.4465341249095069,0.8435777777777778,0.15642222222222224,0.5462924855232238,0.82,0.18000000000000005,2.6063050981611013
22,0.0005567415893174886,0.43878959488868713,0.8457111111111111,0.15428888888888892,0.5225212154388428,0.8228,0.17720000000000002,2.597688960842788
23,0.0005222752508677381,0.42328861388630334,0.8500222222222222,0.14997777777777777,0.5023120196342469,0.8352,0.16479999999999995,2.7476973915472627
24,0.0004877247491322622,0.4063944833861457,0.8567777777777777,0.14322222222222225,0.5127106622695923,0.8282,0.17179999999999995,2.695887458510697
25,0.00045325841068251166,0.3923142119195726,0.8616888888888888,0.13831111111111116,0.5013955191612244,0.8352,0.16479999999999995,2.6946513736620545
26,0.00041904415205486954,0.37751472708914013,0.8666888888888888,0.13331111111111116,0.5272628379821778,0.8276,0.1724,2.6090159779414535
27,0.00038524866167816444,0.36601599084536235,0.8712,0.12880000000000003,0.5133464657306671,0.8344,0.16559999999999997,2.7172733722254634
28,0.0003520365877844011,0.35203112110031975,0.8743777777777778,0.1256222222222222,0.5044608009338379,0.8372,0.16279999999999994,2.6664620833471417
29,0.00031956973625912356,0.3429461083041297,0.8778888888888889,0.12211111111111106,0.48592871313095093,0.843,0.15700000000000003,2.515027672983706
30,0.0002880062823394067,0.3281476148923238,0.8825777777777778,0.1174222222222222,0.5014272965431213,0.8444,0.15559999999999996,2.548895566724241
31,0.00025750000000000013,0.32274748984972634,0.8856,0.11439999999999995,0.48598442268371583,0.8482,0.15180000000000005,2.7097146566957235
32,0.00022819951278198037,0.31129220213890074,0.8897777777777778,0.11022222222222222,0.48151009335517886,0.8448,0.1552,2.5417199628427625
33,0.00020024756971379914,0.29962408028708565,0.8913555555555556,0.10864444444444443,0.486941238117218,0.847,0.15300000000000002,2.7125176563858986
34,0.00017378034985236516,0.2900457091861301,0.8967777777777778,0.10322222222222222,0.49040045762062073,0.8464,0.15359999999999996,2.6236063772812486
35,0.00014892679883236765,0.28761807493633695,0.8968888888888888,0.10311111111111115,0.4803144947052002,0.8498,0.1502,2.6590998144820333
36,0.00012580800065610593,0.2746687862449222,0.9029333333333334,0.09706666666666663,0.4799864719390869,0.8536,0.14639999999999997,2.6110478499904275
37,0.00010453658778440106,0.27213943542904323,0.9037111111111111,0.09628888888888887,0.4789484358787537,0.854,0.14600000000000002,2.5540190152823925
38,8.521619240256914e-05,0.26603564874860974,0.9036666666666666,0.09633333333333338,0.4744247205734253,0.8516,0.14839999999999998,2.5551760820671916
39,6.794094153483125e-05,0.2604362085607317,0.9082,0.09179999999999999,0.48010767402648924,0.852,0.14800000000000002,2.6638554325327277
40,5.279499846691263e-05,0.26058251608742605,0.9078,0.09219999999999995,0.4761181929588318,0.8526,0.14739999999999998,2.6310599632561207
41,3.9852152710975386e-05,0.2509185486369663,0.9112888888888889,0.08871111111111107,0.4770165143966675,0.8554,0.14459999999999995,2.589785630814731
42,2.917546051053226e-05,0.2522290322118335,0.9106666666666666,0.08933333333333338,0.47718127784729003,0.8534,0.14659999999999995,2.7461152002215385
43,2.0816937636766188e-05,0.2497443671544393,0.9104666666666666,0.08953333333333335,0.4768166731834412,0.854,0.14600000000000002,2.6383971767500043
44,1.4817305972922728e-05,0.2430813744571474,0.9134666666666666,0.08653333333333335,0.47651844935417176,0.8542,0.14580000000000004,2.729702406562865
45,1.1205795121387023e-05,0.24582100941869947,0.9134,0.08660000000000001,0.47683835372924804,0.8534,0.14659999999999995,2.6625540032982826
