epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.001,1.7166800223880343,0.43233333333333335,0.5676666666666667,1.5965289321899414,0.4844,0.5156000000000001,3.7188613386824727
2,0.000998794204878613,1.421066777335273,0.5814666666666667,0.4185333333333333,1.5031802558898926,0.5442,0.4558,3.013615610077977
3,0.0009951826940270774,1.288006565729777,0.6449555555555555,0.3550444444444445,1.2787083759307862,0.6604,0.3396,2.8310608249157667
4,0.000989183062363234,1.2039177555508083,0.6814444444444444,0.3185555555555556,1.1718565101623535,0.6924,0.3076,3.0800745710730553
5,0.000980824539489468,1.152868353123135,0.7070222222222222,0.2929777777777778,1.1467300563812255,0.711,0.28900000000000003,3.182925209403038
6,0.0009701478472890248,1.10638237830268,0.7292222222222222,0.2707777777777778,1.0914854263305664,0.7376,0.26239999999999997,3.05597092397511
7,0.0009572050015330875,1.065301671218872,0.7489555555555556,0.2510444444444444,1.0805930168151856,0.748,0.252,2.4630483211949468
8,0.000942059058465169,1.0349489919874404,0.7642,0.2358,1.0849018421173096,0.7404,0.25960000000000005,2.644652127288282
9,0.0009247838075974309,1.009661596828037,0.7747333333333334,0.22526666666666662,1.0705754306793214,0.7576,0.24239999999999995,3.122570116072893
10,0.000905463412215599,0.9819781128883361,0.7870666666666667,0.2129333333333333,0.9788605609893799,0.7866,0.21340000000000003,3.1347845615819097
11,0.0008841919993438941,0.9667380369822184,0.7941111111111111,0.2058888888888889,1.0187834163665772,0.77,0.22999999999999998,3.1667095636948943
12,0.0008610732011676323,0.9467657847086589,0.8014,0.1986,0.9719705156326294,0.797,0.20299999999999996,3.1807700768113136
13,0.0008362196501476349,0.921536630015903,0.8140222222222222,0.1859777777777778,0.9874349611282348,0.7864,0.2136,3.1015731366351247
14,0.0008097524302862008,0.9060565148353577,0.8214888888888889,0.17851111111111106,1.0066506364822387,0.7886,0.21140000000000003,3.083302915096283
15,0.0007818004872180196,0.8850052875518799,0.8298222222222222,0.17017777777777776,0.9377108278274536,0.8114,0.1886,3.389533380046487
16,0.0007525,0.8695535138236152,0.8386,0.1614,0.9215846052169799,0.8176,0.1824,3.18390254676342
17,0.0007219937176605934,0.8562529302491082,0.8428,0.1572,0.9290339435577393,0.8118,0.18820000000000003,3.161997590214014
18,0.0006904302637408765,0.8425917558881971,0.8486222222222222,0.15137777777777783,0.9218011018753052,0.816,0.18400000000000005,3.2578046144917607
19,0.000657963412215599,0.8284947326660156,0.8563555555555555,0.14364444444444446,0.9138476202964783,0.8186,0.1814,3.3103630263358355
20,0.0006247513383218356,0.8154694266213312,0.8609555555555556,0.13904444444444441,0.9157756742477416,0.8226,0.1774,3.035014659166336
21,0.0005909558479451307,0.8030055436876085,0.8674444444444445,0.13255555555555554,0.9132261734962464,0.8324,0.16759999999999997,3.3772937040776014
22,0.0005567415893174886,0.7887336713473002,0.8734222222222222,0.1265777777777778,0.9030329179763794,0.8298,0.17020000000000002,3.3447768073529005
23,0.0005222752508677381,0.7779796130074395,0.8768666666666667,0.12313333333333332,0.8838781287193298,0.8382,0.16180000000000005,3.4113614317029715
24,0.0004877247491322622,0.768327217165629,0.8830888888888889,0.11691111111111108,0.8945273005485535,0.8368,0.1632,3.2856521168723702
25,0.00045325841068251166,0.7513357138527764,0.8905111111111111,0.10948888888888886,0.8895019654273987,0.8406,0.1594,3.0153421545401216
26,0.00041904415205486954,0.7403739589267306,0.8947555555555555,0.10524444444444447,0.8659543933868408,0.8492,0.15080000000000005,2.983885122463107
27,0.00038524866167816444,0.7304259129100376,0.8987777777777778,0.10122222222222221,0.8818396209716797,0.8372,0.16279999999999994,2.6930411271750927
28,0.0003520365877844011,0.7201531073146397,0.9039333333333334,0.09606666666666663,0.8685382264137268,0.8442,0.15580000000000005,3.1550695206969976
29,0.00031956973625912356,0.7084378862804837,0.9096888888888889,0.09031111111111112,0.8598887018203736,0.8504,0.14959999999999996,2.935698158107698
30,0.0002880062823394067,0.7015290653546651,0.9128666666666667,0.08713333333333328,0.8608596797943115,0.8524,0.14759999999999995,3.2006144458428025
31,0.00025750000000000013,0.6911000064002143,0.9185777777777778,0.08142222222222217,0.8597944517135621,0.8524,0.14759999999999995,3.1552498061209917
32,0.00022819951278198037,0.6845467004670037,0.9208,0.07920000000000005,0.8509089486122131,0.8528,0.1472,3.1565095530822873
