epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.001,1.546292490450541,0.4346888888888889,0.5653111111111111,1.3956456483840942,0.4938,0.5062,3.6301566027104855
2,0.000998794204878613,1.1751923739115397,0.5801333333333333,0.4198666666666667,1.3184786270141602,0.5246,0.47540000000000004,3.007588575594127
3,0.0009951826940270774,1.0083572676870558,0.6419333333333334,0.35806666666666664,0.9756109093666077,0.65,0.35,3.105647978372872
4,0.000989183062363234,0.9101889028655158,0.6771777777777778,0.32282222222222223,0.9552867529869079,0.6702,0.3298,2.847915442660451
5,0.000980824539489468,0.8373595577239991,0.7053111111111111,0.2946888888888889,0.8415209769248962,0.707,0.29300000000000004,3.011484800837934
6,0.0009701478472890248,0.7893986399438646,0.721,0.279,0.7252377520561218,0.7478,0.2522,2.859643335454166
7,0.0009572050015330875,0.73245437868966,0.7447555555555555,0.2552444444444445,0.7696659898757935,0.7354,0.26459999999999995,3.10963652189821
8,0.000942059058465169,0.6972537170622084,0.7544,0.24560000000000004,0.7612893694877625,0.733,0.267,3.057684018276632
9,0.0009247838075974309,0.65398702261183,0.7711111111111111,0.22888888888888892,0.69023073387146,0.7638,0.23619999999999997,3.0713683795183897
10,0.000905463412215599,0.631485163254208,0.7778,0.22219999999999995,0.6483396180152893,0.776,0.22399999999999998,3.0365144405514
11,0.0008841919993438941,0.6050663548151652,0.7885777777777778,0.21142222222222218,0.618387335395813,0.7866,0.21340000000000003,2.8781243739649653
12,0.0008610732011676323,0.5736963586383396,0.7985555555555556,0.20144444444444443,0.6476243281364441,0.7784,0.22160000000000002,3.1053340332582593
13,0.0008362196501476349,0.5430385762532552,0.8105555555555556,0.18944444444444442,0.6646435263633728,0.778,0.22199999999999998,2.717629449442029
14,0.0008097524302862008,0.526682736492157,0.8163555555555555,0.1836444444444445,0.6178479853630066,0.7884,0.2116,3.0417736675590277
15,0.0007818004872180196,0.5010897051917182,0.8242222222222222,0.1757777777777778,0.5834484432220459,0.8068,0.19320000000000004,3.0622307108715177
16,0.0007525,0.4862375552283393,0.8310222222222222,0.16897777777777778,0.5701420559883118,0.8118,0.18820000000000003,3.074341875500977
17,0.0007219937176605934,0.45947561396492853,0.8386888888888889,0.16131111111111107,0.5846849479675293,0.8072,0.19279999999999997,2.650885783135891
18,0.0006904302637408765,0.43914678332010904,0.8452,0.15480000000000005,0.5913895447731018,0.8112,0.18879999999999997,2.7145330673083663
19,0.000657963412215599,0.4261505320654975,0.8495333333333334,0.15046666666666664,0.5338918359756469,0.8246,0.1754,2.467387999407947
20,0.0006247513383218356,0.4082067712942759,0.8585111111111111,0.1414888888888889,0.6019074404716491,0.8102,0.18979999999999997,2.8408210799098015
21,0.0005909558479451307,0.3924021389855279,0.8622,0.13780000000000003,0.5632026054382324,0.8202,0.17979999999999996,2.988779707811773
22,0.0005567415893174886,0.3771461546685961,0.8676444444444444,0.13235555555555556,0.5274236044883728,0.8266,0.1734,3.020618482492864
23,0.0005222752508677381,0.3527350140624576,0.8757111111111111,0.1242888888888889,0.535631451511383,0.8256,0.1744,2.977749425917864
24,0.0004877247491322622,0.3458411825497945,0.877,0.123,0.494451340675354,0.8384,0.16159999999999997,3.027139574289322
25,0.00045325841068251166,0.3256385572804345,0.8855333333333333,0.11446666666666672,0.5224207641601563,0.8346,0.1654,3.2491738880053163
26,0.00041904415205486954,0.3077879654407501,0.8915333333333333,0.10846666666666671,0.5141426337242126,0.8376,0.1624,2.783908902667463
27,0.00038524866167816444,0.29920984873771667,0.8938,0.10619999999999996,0.5010716874122619,0.8452,0.15480000000000005,3.0091206477954984
28,0.0003520365877844011,0.28306390823788113,0.9000444444444444,0.09995555555555558,0.4994548571586609,0.8438,0.1562,3.0161230619996786
29,0.00031956973625912356,0.2644823949654897,0.9057333333333333,0.09426666666666672,0.5052810068130493,0.8432,0.15680000000000005,2.599899380467832
30,0.0002880062823394067,0.2596620631535848,0.9081555555555556,0.0918444444444444,0.4979334629058838,0.8478,0.1522,3.134752050973475
31,0.00025750000000000013,0.24120879827870262,0.9135555555555556,0.08644444444444443,0.502667787361145,0.8474,0.15259999999999996,3.024235660210252
32,0.00022819951278198037,0.22722456012037065,0.9197111111111111,0.08028888888888885,0.515989077091217,0.8462,0.15380000000000005,2.9224201776087284
33,0.00020024756971379914,0.21964061353736453,0.9228888888888889,0.07711111111111113,0.5044959285736084,0.8454,0.15459999999999996,2.9718677094206214
34,0.00017378034985236516,0.2088931299024158,0.9256444444444445,0.07435555555555551,0.5263131444931031,0.8464,0.15359999999999996,3.1931981993839145
35,0.00014892679883236765,0.19973419745498233,0.9283333333333333,0.07166666666666666,0.5025374977111816,0.857,0.14300000000000002,3.188472304493189
36,0.00012580800065610593,0.19347542255454594,0.9324888888888889,0.06751111111111108,0.4978060218811035,0.8558,0.1442,2.811691959388554
37,0.00010453658778440106,0.184825633348359,0.9341777777777778,0.06582222222222223,0.5073006608009338,0.856,0.14400000000000002,2.8994213426485658
38,8.521619240256914e-05,0.17677873000303904,0.937,0.06299999999999994,0.51133781042099,0.8556,0.14439999999999997,3.124889095313847
39,6.794094153483125e-05,0.16722041005558438,0.9413111111111111,0.0586888888888889,0.50557601480484,0.855,0.14500000000000002,3.032696444541216
40,5.279499846691263e-05,0.1638244462688764,0.9431111111111111,0.05688888888888888,0.5185408088684083,0.853,0.14700000000000002,3.085193796083331
41,3.9852152710975386e-05,0.1611475743730863,0.9428222222222222,0.05717777777777777,0.5106960837364197,0.855,0.14500000000000002,3.100881990045309
42,2.917546051053226e-05,0.1572456217593617,0.9449555555555555,0.05504444444444445,0.5171988591194153,0.8556,0.14439999999999997,2.9857151322066784
43,2.0816937636766188e-05,0.15357678781615364,0.9457555555555556,0.05424444444444443,0.5186875648498536,0.8562,0.14380000000000004,2.997814510948956
44,1.4817305972922728e-05,0.15135790255599552,0.947,0.05300000000000005,0.5162895778656006,0.8548,0.1452,2.9684454519301653
45,1.1205795121387023e-05,0.15080100459257761,0.947,0.05300000000000005,0.5174293466567993,0.8562,0.14380000000000004,2.921804003417492
