epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.001,1.5504977963765463,0.42035555555555554,0.5796444444444444,1.2638916763305663,0.539,0.46099999999999997,2.415747005492449
2,0.001,1.0878898131900363,0.6098666666666667,0.39013333333333333,0.995311164855957,0.654,0.346,2.3650931818410754
3,0.001,0.8979292611016167,0.6807777777777778,0.3192222222222222,0.9214556035995484,0.6846,0.3154,2.545459578745067
4,0.001,0.7751297420501709,0.7315555555555555,0.2684444444444445,0.8636469602584839,0.7178,0.2822,2.2968407878652215
5,0.001,0.6822531437344022,0.7651333333333333,0.23486666666666667,0.7180172824859619,0.7646,0.23540000000000005,2.471110936254263
6,0.001,0.6134382560624017,0.7883777777777777,0.21162222222222227,0.6532256772994995,0.7882,0.2118,2.34415899310261
7,0.001,0.563706365998586,0.8086444444444445,0.1913555555555555,0.6009206714630126,0.7918,0.20820000000000005,2.1963527658954263
8,0.001,0.5215092920992109,0.8214888888888889,0.17851111111111106,0.5430767890930176,0.8136,0.1864,2.4907203996554017
9,0.001,0.48268380014631485,0.8340222222222222,0.16597777777777778,0.5075461925506591,0.8246,0.1754,2.44885100889951
10,0.001,0.448569668896993,0.8473555555555555,0.15264444444444447,0.5926941581726074,0.8038,0.19620000000000004,2.4413317209109664
11,0.001,0.42456983352237276,0.8539333333333333,0.14606666666666668,0.48336686334609985,0.8386,0.1614,2.390527301467955
12,0.001,0.39150409773190814,0.8657111111111111,0.1342888888888889,0.46842039699554444,0.8474,0.15259999999999996,2.3376757679507136
13,0.001,0.3706469766722785,0.8747111111111111,0.1252888888888889,0.4770962495803833,0.8384,0.16159999999999997,2.2926585786044598
14,0.001,0.3459744313451979,0.8822,0.11780000000000002,0.4254662748336792,0.8566,0.14339999999999997,2.4125409042462707
15,0.001,0.32703826089435156,0.8890666666666667,0.11093333333333333,0.4492074981689453,0.8522,0.14780000000000004,2.4703500336036086
16,0.001,0.30534887709087793,0.8958222222222222,0.10417777777777781,0.45357361030578613,0.8506,0.14939999999999998,2.352921275421977
17,0.001,0.28441214391787845,0.9024666666666666,0.09753333333333336,0.44276054854393004,0.8616,0.13839999999999997,2.415989530272782
18,0.001,0.27169862961239283,0.9067777777777778,0.0932222222222222,0.42559555807113647,0.865,0.135,2.294336134567857
19,0.001,0.25451705314848155,0.9128,0.08720000000000006,0.4235932926416397,0.8598,0.1402,2.3154321694746614
20,0.001,0.24316249119440714,0.9162888888888889,0.08371111111111107,0.3923664497375488,0.8738,0.12619999999999998,2.2325016343966126
