epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.001,1.956554354265001,0.21142222222222223,0.7885777777777778,1.7964954595565796,0.2908,0.7092,3.9920356972143054
2,0.000998794204878613,1.5985449893315633,0.38204444444444446,0.6179555555555556,1.3885747646331787,0.454,0.546,3.4524729680269957
3,0.0009951826940270774,1.3294740531921387,0.5183111111111111,0.48168888888888894,1.204642233276367,0.571,0.42900000000000005,3.5898373294621706
4,0.000989183062363234,1.1466510774188572,0.5986666666666667,0.4013333333333333,1.0039280406951905,0.6526,0.34740000000000004,3.626447558403015
5,0.000980824539489468,1.024057623799642,0.6498666666666667,0.3501333333333333,0.9380679017066955,0.6848,0.31520000000000004,3.402936702594161
6,0.0009701478472890248,0.9260742913775973,0.6844444444444444,0.3155555555555556,0.8985543941497802,0.6918,0.30820000000000003,3.6351308785378933
7,0.0009572050015330875,0.8588042846255832,0.7124666666666667,0.2875333333333333,0.8617810241699219,0.7184,0.28159999999999996,3.6303970273584127
8,0.000942059058465169,0.8017650383631388,0.7338222222222223,0.26617777777777774,0.7896667665481567,0.7382,0.26180000000000003,3.5739723965525627
9,0.0009247838075974309,0.7593587191051907,0.7471555555555556,0.2528444444444444,0.741110768699646,0.7528,0.24719999999999998,3.4432485746219754
10,0.000905463412215599,0.7272310793452793,0.7582666666666666,0.24173333333333336,0.70739388256073,0.766,0.23399999999999999,3.463022882118821
11,0.0008841919993438941,0.6892612293879191,0.7714888888888889,0.2285111111111111,0.6816710480690003,0.7772,0.2228,3.544651941396296
12,0.0008610732011676323,0.6633119441986084,0.7804222222222222,0.21957777777777776,0.6509048892021179,0.7858,0.21419999999999995,3.1701809959486127
13,0.0008362196501476349,0.6416867645581563,0.7877333333333333,0.21226666666666671,0.6535199793815613,0.7868,0.21319999999999995,3.487697775475681
14,0.0008097524302862008,0.6146930508401659,0.7960888888888888,0.20391111111111115,0.646544895362854,0.7838,0.21619999999999995,3.390076443552971
15,0.0007818004872180196,0.586282286198934,0.8048,0.19520000000000004,0.6627128171920776,0.7808,0.21919999999999995,3.5846968730911613
16,0.0007525,0.5639854503631592,0.8128444444444445,0.18715555555555552,0.6412763816833497,0.7974,0.2026,3.4868994718417525
17,0.0007219937176605934,0.5459899542278713,0.8179333333333333,0.1820666666666667,0.6253011654853821,0.7972,0.20279999999999998,3.2633404433727264
18,0.0006904302637408765,0.5245858481354183,0.8243555555555555,0.1756444444444445,0.5973400827407837,0.807,0.19299999999999995,3.488687884993851
19,0.000657963412215599,0.5073771159595913,0.8319777777777778,0.16802222222222218,0.5799271085739136,0.8158,0.18420000000000003,3.4574934113770723
20,0.0006247513383218356,0.49516344697210524,0.8356222222222223,0.16437777777777773,0.5663724396705627,0.815,0.18500000000000005,3.605314719490707
