epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.001,1.8818602874543933,0.27382222222222224,0.7261777777777778,1.5843456958770752,0.393,0.607,3.6473535681143403
2,0.001,1.4539653602600098,0.45642222222222223,0.5435777777777777,1.2802542194366455,0.5414,0.4586,3.2426258390769362
3,0.001,1.2020616000705295,0.5640444444444445,0.43595555555555554,1.011767792415619,0.643,0.357,3.355138201266527
4,0.001,1.0158899095429315,0.6450666666666667,0.3549333333333333,0.9645692049980163,0.6744,0.3256,3.118167079053819
5,0.001,0.8981623027589586,0.6884,0.3116,0.7786259979248047,0.7344,0.26559999999999995,2.5854456732049584
6,0.001,0.8142769602563646,0.7198444444444444,0.2801555555555556,0.7488617334365845,0.7478,0.2522,3.1148308971896768
7,0.001,0.7446206979115804,0.7465555555555555,0.25344444444444447,0.7220732624530792,0.759,0.241,3.1954677887260914
8,0.001,0.7021015800899929,0.7595333333333333,0.24046666666666672,0.7093257935523987,0.7592,0.24080000000000001,3.12873303424567
9,0.001,0.6536346862898933,0.7775111111111112,0.22248888888888885,0.6289530097961425,0.79,0.20999999999999996,3.412376534193754
10,0.001,0.6251314508226182,0.7886444444444445,0.21135555555555552,0.653170705127716,0.7834,0.21660000000000001,3.5373938884586096
11,0.001,0.5839307749324375,0.8028444444444445,0.19715555555555553,0.6199985589265823,0.7958,0.20420000000000005,3.275387109257281
12,0.001,0.5616169383154975,0.8096222222222222,0.19037777777777776,0.5913764045715332,0.8054,0.1946,3.4316162010654807
13,0.001,0.5447670998043485,0.8159777777777778,0.1840222222222222,0.5759921384811402,0.8058,0.19420000000000004,3.201460371725261
14,0.001,0.5245162695566813,0.8215777777777777,0.17842222222222226,0.5706198777675628,0.8104,0.1896,2.8665350982919335
15,0.001,0.5000376495573255,0.8306888888888889,0.16931111111111108,0.556791722869873,0.816,0.18400000000000005,2.8334504859521985
16,0.001,0.48574290000597636,0.8341333333333333,0.16586666666666672,0.5317055371046067,0.8236,0.1764,2.738424926996231
17,0.001,0.46669357203907436,0.8436222222222223,0.15637777777777773,0.5988273540496826,0.8042,0.19579999999999997,2.6822134936228395
18,0.001,0.4567301266617245,0.8454222222222222,0.15457777777777781,0.5700109312057495,0.813,0.18700000000000006,2.2049370175227523
19,0.001,0.4456813890669081,0.8503555555555555,0.14964444444444447,0.5418579179763794,0.8266,0.1734,2.2947793677449226
20,0.001,0.4274432978577084,0.8534888888888889,0.14651111111111115,0.5274204152107239,0.8216,0.1784,2.3080508885905147
