epoch,lr,train_loss,train_accuracy,train_error,val_loss,val_accuracy,val_error,epoch_seconds
1,0.001,1.3787564334657456,0.49115555555555557,0.5088444444444444,1.2566568244934082,0.5698,0.4302,4.17722403537482
2,0.000998794204878613,0.9144200883441501,0.6760888888888889,0.32391111111111115,0.914473310470581,0.6828,0.31720000000000004,4.177315864712
3,0.0009951826940270774,0.7223838470458984,0.7475777777777778,0.2524222222222222,0.9069039395332337,0.6914,0.3086,4.0519063686951995
4,0.000989183062363234,0.6132717691209582,0.7882888888888889,0.21171111111111107,0.8169490177154541,0.725,0.275,3.8698430536314845
5,0.000980824539489468,0.5437622037463719,0.8129777777777778,0.1870222222222222,0.8194273094177246,0.742,0.258,3.930331088602543
6,0.0009701478472890248,0.48585362215042116,0.8329777777777778,0.16702222222222218,0.740597668838501,0.7776,0.22240000000000004,3.9001947743818164
7,0.0009572050015330875,0.44407190590434603,0.8481333333333333,0.1518666666666667,0.5926739379882813,0.811,0.18899999999999995,3.8871131353080273
8,0.000942059058465169,0.41089292341868083,0.8598222222222223,0.14017777777777773,0.6006129331588745,0.8028,0.19720000000000004,4.0058918464928865
9,0.0009247838075974309,0.3771402371353573,0.8701111111111111,0.12988888888888894,0.4989379042625427,0.8382,0.16180000000000005,3.931175995618105
10,0.000905463412215599,0.3488482443332672,0.8795111111111111,0.12048888888888887,0.6137738416671753,0.8114,0.1886,3.9616053234785795
11,0.0008841919993438941,0.32708061724238924,0.8867333333333334,0.11326666666666663,0.5209673169136048,0.8298,0.17020000000000002,3.781501853838563
12,0.0008610732011676323,0.2994128595723046,0.8963777777777778,0.10362222222222217,0.44618014674186707,0.8562,0.14380000000000004,3.613686902448535
13,0.0008362196501476349,0.279831427637736,0.9020666666666667,0.09793333333333332,0.38493799805641177,0.8802,0.11980000000000002,3.8638163497671485
14,0.0008097524302862008,0.2614898822784424,0.9098444444444445,0.09015555555555554,0.750063763999939,0.7922,0.20779999999999998,4.017562144435942
15,0.0007818004872180196,0.24293603569136726,0.9156666666666666,0.08433333333333337,0.44146452474594117,0.8612,0.13880000000000003,3.9042993942275643
16,0.0007525,0.2220599595255322,0.9243777777777777,0.07562222222222226,0.44950305066108703,0.8624,0.13759999999999994,3.9416071735322475
17,0.0007219937176605934,0.2075286419471105,0.9283555555555556,0.0716444444444444,0.39104192690849304,0.8828,0.11719999999999997,3.897341901436448
18,0.0006904302637408765,0.19479591142601438,0.9317111111111112,0.06828888888888884,0.4147289062976837,0.8762,0.12380000000000002,4.005053086206317
19,0.000657963412215599,0.17903865366246965,0.9375333333333333,0.06246666666666667,0.4714330661773682,0.8682,0.13180000000000003,3.973574312403798
20,0.0006247513383218356,0.16727314836978913,0.9410444444444445,0.05895555555555554,0.41173511819839476,0.884,0.11599999999999999,4.00806721765548
