model,learning_rate,step_size,loss,loss_delta,gradient_cosine,max_gradient_difference
vgg_a,0.001,0.0,0.5917875170707703,0.0,0.9999999403953552,0.0
vgg_a,0.001,0.001,0.5875135064125061,-0.00427401065826416,0.9951326847076416,0.03940533101558685
vgg_a,0.001,0.002,0.5834854245185852,-0.008302092552185059,0.9869934320449829,0.0778876543045044
vgg_a,0.001,0.005,0.5724427103996277,-0.019344806671142578,0.930898904800415,0.20693466067314148
vgg_a,0.001,0.01,0.5560810565948486,-0.03570646047592163,0.8978733420372009,0.2519383430480957
vgg_a,0.002,0.0,0.7170431613922119,0.0,0.9999998807907104,0.0
vgg_a,0.002,0.001,0.7134419679641724,-0.0036011934280395508,0.9844332933425903,0.07064822316169739
vgg_a,0.002,0.002,0.7096933126449585,-0.007349848747253418,0.9827765822410583,0.051349032670259476
vgg_a,0.002,0.005,0.7004495859146118,-0.016593575477600098,0.885487973690033,0.1656232327222824
vgg_a,0.002,0.01,0.6880931258201599,-0.028950035572052002,0.7494124174118042,0.23922041058540344
vgg_a,0.0005,0.0,0.5819764137268066,0.0,0.9999998211860657,0.0
vgg_a,0.0005,0.001,0.5761200785636902,-0.005856335163116455,0.9939910173416138,0.055799901485443115
vgg_a,0.0005,0.002,0.5701819658279419,-0.011794447898864746,0.9900820255279541,0.06380891799926758
vgg_a,0.0005,0.005,0.5537608861923218,-0.028215527534484863,0.9720234870910645,0.12506011128425598
vgg_a,0.0005,0.01,0.5250414609909058,-0.05693495273590088,0.9290486574172974,0.19933849573135376
vgg_a,0.0001,0.0,0.6089520454406738,0.0,0.9999999403953552,0.0
vgg_a,0.0001,0.001,0.6000397205352783,-0.008912324905395508,0.9960196018218994,0.0661778450012207
vgg_a,0.0001,0.002,0.5915534496307373,-0.017398595809936523,0.9860973358154297,0.15103398263454437
vgg_a,0.0001,0.005,0.567842960357666,-0.04110908508300781,0.9534484148025513,0.30678242444992065
vgg_a,0.0001,0.01,0.5357663035392761,-0.0731857419013977,0.7673469185829163,0.5971754193305969
vgg_a_bn,0.001,0.0,0.5262106657028198,0.0,0.9999998807907104,0.0
vgg_a_bn,0.001,0.001,0.5231194496154785,-0.0030912160873413086,0.9975300431251526,0.021439943462610245
vgg_a_bn,0.001,0.002,0.5201218724250793,-0.0060887932777404785,0.9913545846939087,0.038953326642513275
vgg_a_bn,0.001,0.005,0.511266827583313,-0.014943838119506836,0.9800906181335449,0.09012733399868011
vgg_a_bn,0.001,0.01,0.4980058968067169,-0.028204768896102905,0.9404166340827942,0.15183673799037933
vgg_a_bn,0.002,0.0,0.46168869733810425,0.0,1.000000238418579,0.0
vgg_a_bn,0.002,0.001,0.45881837606430054,-0.002870321273803711,0.9971867203712463,0.041725337505340576
vgg_a_bn,0.002,0.002,0.45598310232162476,-0.005705595016479492,0.9956008195877075,0.038778871297836304
vgg_a_bn,0.002,0.005,0.4475522041320801,-0.01413649320602417,0.9896133542060852,0.043964728713035583
vgg_a_bn,0.002,0.01,0.4350942075252533,-0.026594489812850952,0.9638172388076782,0.10121722519397736
vgg_a_bn,0.0005,0.0,0.5774691700935364,0.0,0.9999999403953552,0.0
vgg_a_bn,0.0005,0.001,0.5701388120651245,-0.007330358028411865,0.9960507750511169,0.06297606229782104
vgg_a_bn,0.0005,0.002,0.5627866983413696,-0.014682471752166748,0.9915172457695007,0.1148194819688797
vgg_a_bn,0.0005,0.005,0.5415194034576416,-0.035949766635894775,0.9857664704322815,0.12092161178588867
vgg_a_bn,0.0005,0.01,0.5075157284736633,-0.06995344161987305,0.9624979496002197,0.24257498979568481
vgg_a_bn,0.0001,0.0,0.6675689220428467,0.0,1.0,0.0
vgg_a_bn,0.0001,0.001,0.6491655111312866,-0.01840341091156006,0.9927688241004944,0.2707507312297821
vgg_a_bn,0.0001,0.002,0.631481409072876,-0.0360875129699707,0.9876099824905396,0.33453789353370667
vgg_a_bn,0.0001,0.005,0.5811729431152344,-0.0863959789276123,0.9732701778411865,0.5379415154457092
vgg_a_bn,0.0001,0.01,0.511389970779419,-0.15617895126342773,0.902431070804596,1.0663132667541504
